# macOS bundled-font coverage, contiguous renderable ranges.
# format: U+XXXX U+YYYY count   (inclusive; a single scalar omits the end)
# os: Version 26.5.1 (Build 25F80)
# base font: PingFang TC   bundled fonts merged: 655

U+20EF1        1
U+20EF4 U+20EF5  2
U+20EF7 U+20EFD  7
U+20F15 U+20F16  2
U+20F1D        1
U+20F26        1
U+20F2A        1
U+20F2D U+20F5B  47
U+20F5E U+20F5F  2
U+20F64        1
U+20F6E        1
U+20F7E        1
U+20F80        1
U+20F8D        1
U+20F8F U+20F90  2
U+20F92 U+20F95  4
U+20F9B        1
U+20FA3        1
U+20FA6        1
U+20FAD        1
U+20FB4 U+20FC4  17
U+20FC8        1
U+20FD2        1
U+20FDA        1
U+20FDF        1
U+20FEA U+20FF9  16
U+20FFF        1
U+21002        1
U+21007        1
U+21014        1
U+2101D U+2101E  2
U+21020 U+21037  24
U+2103F        1
U+2104E U+2104F  2
U+21059 U+2105E  6
U+21060        1
U+21064        1
U+2106F        1
U+21075 U+21089  21
U+2108C U+2108E  3
U+21091 U+21093  3
U+21096        1
U+21099        1
U+2109D        1
U+210A1 U+210A2  2
U+210AE U+210B5  8
U+210B7        1
U+210B9        1
U+210BF U+210C1  3
U+210C7 U+210DC  22
U+210E4        1
U+210F4 U+210F6  3
U+210F9 U+21101  9
U+2110D U+21110  4
U+2111F        1
U+21121        1
U+21124 U+21130  13
U+21135        1
U+2113B        1
U+2113D U+2113E  2
U+21145        1
U+21148 U+21152  11
U+21160        1
U+21162        1
U+21167 U+2116C  6
U+2116F        1
U+21173        1
U+21177        1
U+21180 U+21182  3
U+21184        1
U+21187 U+21188  2
U+2118C U+2118D  2
U+21191        1
U+21196 U+2119A  5
U+2119E        1
U+211D9        1
U+211F8        1
U+211FB        1
U+21201        1
U+21208        1
U+21221        1
U+21229        1
U+2123A        1
U+2123C U+2123D  2
U+2124E U+2124F  2
U+21255 U+21256  2
U+21266        1
U+21274        1
U+2127B U+2127F  5
U+21290        1
U+212A0        1
U+212A8 U+212A9  2
U+212B0 U+212B3  4
U+212B8        1
U+212C0 U+212C3  4
U+212D7        1
U+212E3 U+212E6  4
U+212EF        1
U+212FD U+21300  4
U+21302 U+21305  4
U+2131B        1
U+21320 U+21323  4
U+21334        1
U+21336        1
U+2133A        1
U+2133D        1
U+2133F        1
U+21344        1
U+21358 U+2135F  8
U+21362 U+21363  2
U+21372        1
U+21375 U+21376  2
U+2137C        1
U+2138E        1
U+21398        1
U+2139A U+213A6  13
U+213AD        1
U+213BA        1
U+213C4 U+213C6  3
U+213D6        1
U+213D8        1
U+213DB        1
U+213DF U+213E7  9
U+213ED        1
U+213EF        1
U+213FD U+213FE  2
U+21413        1
U+21416 U+2141A  5
U+21424        1
U+2142E U+2142F  2
U+2143F        1
U+2144D        1
U+21452 U+21457  6
U+2145D        1
U+21469 U+2146A  2
U+2146D U+2146E  2
U+21470 U+21475  6
U+2148A        1
U+21497 U+21498  2
U+214A8        1
U+214AA U+214AF  6
U+214B6        1
U+214BB        1
U+214C1 U+214C8  8
U+214CB        1
U+214CE U+214CF  2
U+214D4        1
U+214DE U+214E2  5
U+214E5        1
U+214E8        1
U+214EE U+214EF  2
U+214F3        1
U+214FD U+214FE  2
U+21503        1
U+2150D        1
U+21511 U+21512  2
U+21514        1
U+21516        1
U+2153F        1
U+21575        1
U+21577        1
U+21582        1
U+21596        1
U+215A1        1
U+215B1        1
U+215B5        1
U+215BC        1
U+215C2        1
U+215C4 U+215C5  2
U+215C9 U+215CB  3
U+215CE        1
U+215D0        1
U+215D7        1
U+215F6        1
U+2160A        1
U+21613        1
U+21619        1
U+2162E U+2162F  2
U+2163E        1
U+21647        1
U+21661        1
U+21666 U+21667  2
U+21674 U+21675  2
U+21681        1
U+21683 U+21684  2
U+2168E        1
U+21692        1
U+21697        1
U+2169A        1
U+2169D        1
U+216A1 U+216A2  2
U+216A6        1
U+216B4        1
U+216B8        1
U+216BA        1
U+216C0 U+216C2  3
U+216D3 U+216D5  3
U+216DF        1
U+216E4 U+216E9  6
U+216FA U+216FC  3
U+216FE        1
U+21706        1
U+2170D        1
U+21710        1
U+21724        1
U+21726        1
U+2172E        1
U+21731        1
U+2173A U+2173C  3
U+21742 U+21743  2
U+21754 U+21757  4
U+21766        1
U+2176C U+21771  6
U+21773 U+21774  2
U+21795 U+21797  3
U+217AB        1
U+217B0 U+217B5  6
U+217C3        1
U+217C7 U+217C8  2
U+217D3        1
U+217D9 U+217DC  4
U+217DF        1
U+217E5        1
U+217EF        1
U+217F5 U+217F6  2
U+217F8 U+217FC  5
U+21820        1
U+21823 U+21824  2
U+21828 U+2182A  3
U+2182D        1
U+21839 U+2183B  3
U+21840        1
U+21842        1
U+21845 U+21847  3
U+21852        1
U+2185E        1
U+21861 U+21864  4
U+21866 U+21867  2
U+21877        1
U+2187B        1
U+21883 U+21885  3
U+21890        1
U+2189E U+218A2  5
U+218BB U+218BF  5
U+218C4        1
U+218D1        1
U+218D6 U+218D9  4
U+218DD        1
U+218E7 U+218E8  2
U+218FA U+218FB  2
